sample_id	sample_file	batch
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_32_BC13	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_32_BC13	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_33_BC14	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_33_BC14	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_34_BC15	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_34_BC15	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_35_BC16	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_35_BC16	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_36_BC17	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_37_BC18	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_37_BC18	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_38_BC19	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_38_BC19	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_39_BC20	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_39_BC20	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_40_BC21	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_40_BC21	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_41_BD2	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_41_BD2	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_42_BD3	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_43_BD4	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_43_BD4	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_44_BD5	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_44_BD5	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_45_BD6	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_45_BD6	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_46_BD7	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_46_BD7	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_47_BD8	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_47_BD8	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_48_BD9	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_48_BD9	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_49_BD10	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_49_BD10	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_50_BD11	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_50_BD11	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_51_BD12	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_51_BD12	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_52_BD13	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_52_BD13	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_53_BD14	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_53_BD14	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_54_BD15	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_54_BD15	1
20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_55_BD16	20241031_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW14_sc_55_BD16	1
20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_0cells_01_GE3	20241102_Astral1_Neo6_TH050_AU25_trap_RLMrun040to043_SW15_0cells_01_GE3	2
