sample_id	sample_file	batch
Evosep_WLBSC_943_031624	input\Evosep_WLBSC_943_031624.raw	2
Evosep_WLBSC_942_031624	input\Evosep_WLBSC_942_031624.raw	2
Evosep_WLBSC_938_031624	input\Evosep_WLBSC_938_031624.raw	2
Evosep_WLBSC_937_031624	input\Evosep_WLBSC_937_031624.raw	2
Evosep_WLBSC_935_031624	input\Evosep_WLBSC_935_031624.raw	2
Evosep_WLBSC_934_031624	input\Evosep_WLBSC_934_031624.raw	2
Evosep_WLBSC_933_031624	input\Evosep_WLBSC_933_031624.raw	2
Evosep_WLBSC_930_031524	input\Evosep_WLBSC_930_031524.raw	2
Evosep_WLBSC_923_031524	input\Evosep_WLBSC_923_031524.raw	2
Evosep_WLBSC_921_031524	input\Evosep_WLBSC_921_031524.raw	2
Evosep_WLBSC_920_031524	input\Evosep_WLBSC_920_031524.raw	2
Evosep_WLBSC_918_031524	input\Evosep_WLBSC_918_031524.raw	2
Evosep_WLBSC_917_031524	input\Evosep_WLBSC_917_031524.raw	2
Evosep_WLBSC_914_031524	input\Evosep_WLBSC_914_031524.raw	2
Evosep_WLBSC_913_031524	input\Evosep_WLBSC_913_031524.raw	2
Evosep_WLBSC_909_031524	input\Evosep_WLBSC_909_031524.raw	2
Evosep_WLBSC_907_031524	input\Evosep_WLBSC_907_031524.raw	2
Evosep_WLBSC_906_031524	input\Evosep_WLBSC_906_031524.raw	2
Evosep_WLBSC_905_031524	input\Evosep_WLBSC_905_031524.raw	2
Evosep_WLBSC_899_031524	input\Evosep_WLBSC_899_031524.raw	2
Evosep_WLBSC_896_031524	input\Evosep_WLBSC_896_031524.raw	2
Evosep_WLBSC_894_031524	input\Evosep_WLBSC_894_031524.raw	2
Evosep_WLBSC_893_031524	input\Evosep_WLBSC_893_031524.raw	2
Evosep_WLBSC_892_031524	input\Evosep_WLBSC_892_031524.raw	2
Evosep_WLBSC_888_031424	input\Evosep_WLBSC_888_031424.raw	2
Evosep_WLBSC_887_031424	input\Evosep_WLBSC_887_031424.raw	2
Evosep_WLBSC_886_031424	input\Evosep_WLBSC_886_031424.raw	2
Evosep_WLBSC_881_031424	input\Evosep_WLBSC_881_031424.raw	2
Evosep_WLBSC_879_031424	input\Evosep_WLBSC_879_031424.raw	2
Evosep_WLBSC_876_031424	input\Evosep_WLBSC_876_031424.raw	2
Evosep_WLBSC_875_031424	input\Evosep_WLBSC_875_031424.raw	2
Evosep_WLBSC_871_031424	input\Evosep_WLBSC_871_031424.raw	2
Evosep_WLBSC_870_031424	input\Evosep_WLBSC_870_031424.raw	2
Evosep_WLBSC_869_031424	input\Evosep_WLBSC_869_031424.raw	2
Evosep_WLBSC_867_031424	input\Evosep_WLBSC_867_031424.raw	2
Evosep_WLBSC_865_031424	input\Evosep_WLBSC_865_031424.raw	2
Evosep_WLBSC_863_031424	input\Evosep_WLBSC_863_031424.raw	2
Evosep_WLBSC_862_031424	input\Evosep_WLBSC_862_031424.raw	2
Evosep_WLBSC_859_031424	input\Evosep_WLBSC_859_031424.raw	2
Evosep_WLBSC_855_031424	input\Evosep_WLBSC_855_031424.raw	2
Evosep_WLBSC_854_031424	input\Evosep_WLBSC_854_031424.raw	2
Evosep_WLBSC_853_031424	input\Evosep_WLBSC_853_031424.raw	2
Evosep_WLBSC_852_031424	input\Evosep_WLBSC_852_031424.raw	2
Evosep_WLBSC_851_031424	input\Evosep_WLBSC_851_031424.raw	2
Evosep_WLBSC_850_031224	input\Evosep_WLBSC_850_031224.raw	3
Evosep_WLBSC_848_031224	input\Evosep_WLBSC_848_031224.raw	3
Evosep_WLBSC_847_031224	input\Evosep_WLBSC_847_031224.raw	3
Evosep_WLBSC_845_031224	input\Evosep_WLBSC_845_031224.raw	3
Evosep_WLBSC_840_031224	input\Evosep_WLBSC_840_031224.raw	3
Evosep_WLBSC_839_031224	input\Evosep_WLBSC_839_031224.raw	3
Evosep_WLBSC_838_031224	input\Evosep_WLBSC_838_031224.raw	3
Evosep_WLBSC_837_031224	input\Evosep_WLBSC_837_031224.raw	3
Evosep_WLBSC_836_031224	input\Evosep_WLBSC_836_031224.raw	3
Evosep_WLBSC_832_031224	input\Evosep_WLBSC_832_031224.raw	3
Evosep_WLBSC_830_031224	input\Evosep_WLBSC_830_031224.raw	3
Evosep_WLBSC_828_031224	input\Evosep_WLBSC_828_031224.raw	3
Evosep_WLBSC_827_031224	input\Evosep_WLBSC_827_031224.raw	3
Evosep_WLBSC_825_031224	input\Evosep_WLBSC_825_031224.raw	3
Evosep_WLBSC_824_031224	input\Evosep_WLBSC_824_031224.raw	3
Evosep_WLBSC_822_031224	input\Evosep_WLBSC_822_031224.raw	3
Evosep_WLBSC_821_031224	input\Evosep_WLBSC_821_031224.raw	3
Evosep_WLBSC_820_031224	input\Evosep_WLBSC_820_031224.raw	3
Evosep_WLBSC_819_031224	input\Evosep_WLBSC_819_031224.raw	3
Evosep_WLBSC_814_031224	input\Evosep_WLBSC_814_031224.raw	3
Evosep_WLBSC_813_031224	input\Evosep_WLBSC_813_031224.raw	3
Evosep_WLBSC_810_031124	input\Evosep_WLBSC_810_031124.raw	3
Evosep_WLBSC_806_031124	input\Evosep_WLBSC_806_031124.raw	3
Evosep_WLBSC_804_031124	input\Evosep_WLBSC_804_031124.raw	3
Evosep_WLBSC_802_031124	input\Evosep_WLBSC_802_031124.raw	3
Evosep_WLBSC_798_031124	input\Evosep_WLBSC_798_031124.raw	3
Evosep_WLBSC_797_031124	input\Evosep_WLBSC_797_031124.raw	3
Evosep_WLBSC_796_031124	input\Evosep_WLBSC_796_031124.raw	3
Evosep_WLBSC_795_031124	input\Evosep_WLBSC_795_031124.raw	3
Evosep_WLBSC_791_031124	input\Evosep_WLBSC_791_031124.raw	3
Evosep_WLBSC_790_031124	input\Evosep_WLBSC_790_031124.raw	3
Evosep_WLBSC_789_031124	input\Evosep_WLBSC_789_031124.raw	3
Evosep_WLBSC_786_031124	input\Evosep_WLBSC_786_031124.raw	3
Evosep_WLBSC_777_031124	input\Evosep_WLBSC_777_031124.raw	3
Evosep_WLBSC_771_031124	input\Evosep_WLBSC_771_031124.raw	3
Evosep_WLBSC_770_031124	input\Evosep_WLBSC_770_031124.raw	3
Evosep_WLBSC_769_031124	input\Evosep_WLBSC_769_031124.raw	3
Evosep_WLBSC_768_031124	input\Evosep_WLBSC_768_031124.raw	3
Evosep_WLBSC_767_031124	input\Evosep_WLBSC_767_031124.raw	3
Evosep_WLBSC_766_031124	input\Evosep_WLBSC_766_031124.raw	3
Evosep_WLBSC_765_031124	input\Evosep_WLBSC_765_031124.raw	3
Evosep_WLBSC_764_031124	input\Evosep_WLBSC_764_031124.raw	3
Evosep_WLBSC_748_030824	input\Evosep_WLBSC_748_030824.raw	4
Evosep_WLBSC_746_030824	input\Evosep_WLBSC_746_030824.raw	4
Evosep_WLBSC_741_030824	input\Evosep_WLBSC_741_030824.raw	4
Evosep_WLBSC_740_030824	input\Evosep_WLBSC_740_030824.raw	4
Evosep_WLBSC_738_030824	input\Evosep_WLBSC_738_030824.raw	4
Evosep_WLBSC_734_030824	input\Evosep_WLBSC_734_030824.raw	4
Evosep_WLBSC_732_030824	input\Evosep_WLBSC_732_030824.raw	4
Evosep_WLBSC_726_030824	input\Evosep_WLBSC_726_030824.raw	4
Evosep_WLBSC_723_030824	input\Evosep_WLBSC_723_030824.raw	4
Evosep_WLBSC_708_030824	input\Evosep_WLBSC_708_030824.raw	4
Evosep_WLBSC_687_030724	input\Evosep_WLBSC_687_030724.raw	4
Evosep_WLBSC_682_030724	input\Evosep_WLBSC_682_030724.raw	4
Evosep_WLBSC_680_030724	input\Evosep_WLBSC_680_030724.raw	4
Evosep_WLBSC_675_030724	input\Evosep_WLBSC_675_030724.raw	4
Evosep_WLBSC_673_030724	input\Evosep_WLBSC_673_030724.raw	4
Evosep_WLBSC_672_030724	input\Evosep_WLBSC_672_030724.raw	4
Evosep_WLBSC_670_030724	input\Evosep_WLBSC_670_030724.raw	4
Evosep_WLBSC_667_030724	input\Evosep_WLBSC_667_030724.raw	4
Evosep_WLBSC_663_030724	input\Evosep_WLBSC_663_030724.raw	4
Evosep_WLBSC_635_030624	input\Evosep_WLBSC_635_030624.raw	4
Evosep_WLBSC_625_030624	input\Evosep_WLBSC_625_030624.raw	4
Evosep_WLBSC_622_030624	input\Evosep_WLBSC_622_030624.raw	4
Evosep_WLBSC_621_030624	input\Evosep_WLBSC_621_030624.raw	4
Evosep_WLBSC_612_030424	input\Evosep_WLBSC_612_030424.raw	5
Evosep_WLBSC_609_030424	input\Evosep_WLBSC_609_030424.raw	5
Evosep_WLBSC_602_030424	input\Evosep_WLBSC_602_030424.raw	5
Evosep_WLBSC_593_030424	input\Evosep_WLBSC_593_030424.raw	5
Evosep_WLBSC_588_030424	input\Evosep_WLBSC_588_030424.raw	5
Evosep_WLBSC_575_030324	input\Evosep_WLBSC_575_030324.raw	5
Evosep_WLBSC_573_030324	input\Evosep_WLBSC_573_030324.raw	5
Evosep_WLBSC_572_030324	input\Evosep_WLBSC_572_030324.raw	5
Evosep_WLBSC_567_030324	input\Evosep_WLBSC_567_030324.raw	5
Evosep_WLBSC_557_030324	input\Evosep_WLBSC_557_030324.raw	5
Evosep_WLBSC_549_030324	input\Evosep_WLBSC_549_030324.raw	5
Evosep_WLBSC_548_030324	input\Evosep_WLBSC_548_030324.raw	5
Evosep_WLBSC_530_030224	input\Evosep_WLBSC_530_030224.raw	5
Evosep_WLBSC_519_030224	input\Evosep_WLBSC_519_030224.raw	5
Evosep_WLBSC_515_030224	input\Evosep_WLBSC_515_030224.raw	5
Evosep_WLBSC_513_030224	input\Evosep_WLBSC_513_030224.raw	5
Evosep_WLBSC_505_030224	input\Evosep_WLBSC_505_030224.raw	5
Evosep_WLBSC_502_030224	input\Evosep_WLBSC_502_030224.raw	5
Evosep_WLBSC_499_030124	input\Evosep_WLBSC_499_030124.raw	5
Evosep_WLBSC_495_030124	input\Evosep_WLBSC_495_030124.raw	5
Evosep_WLBSC_490_030124	input\Evosep_WLBSC_490_030124.raw	5
Evosep_WLBSC_483_030124	input\Evosep_WLBSC_483_030124.raw	5
Evosep_WLBSC_460_022924	input\Evosep_WLBSC_460_022924.raw	6
Evosep_WLBSC_459_022924	input\Evosep_WLBSC_459_022924.raw	6
Evosep_WLBSC_430_022924	input\Evosep_WLBSC_430_022924.raw	6
Evosep_WLBSC_428_022924	input\Evosep_WLBSC_428_022924.raw	6
Evosep_WLBSC_424_022924	input\Evosep_WLBSC_424_022924.raw	6
Evosep_WLBSC_422_022924	input\Evosep_WLBSC_422_022924.raw	6
Evosep_WLBSC_381_022724	input\Evosep_WLBSC_381_022724.raw	7
Evosep_WLBSC_377_021124	input\Evosep_WLBSC_377_021124.raw	8
Evosep_WLBSC_376_021124	input\Evosep_WLBSC_376_021124.raw	8
Evosep_WLBSC_375_021124	input\Evosep_WLBSC_375_021124.raw	8
Evosep_WLBSC_374_021124	input\Evosep_WLBSC_374_021124.raw	8
Evosep_WLBSC_372_021124	input\Evosep_WLBSC_372_021124.raw	8
Evosep_WLBSC_371_021124	input\Evosep_WLBSC_371_021124.raw	8
Evosep_WLBSC_369_021124	input\Evosep_WLBSC_369_021124.raw	8
Evosep_WLBSC_367_021124	input\Evosep_WLBSC_367_021124.raw	8
Evosep_WLBSC_366_021124	input\Evosep_WLBSC_366_021124.raw	8
Evosep_WLBSC_365_021124	input\Evosep_WLBSC_365_021124.raw	8
Evosep_WLBSC_363_021124	input\Evosep_WLBSC_363_021124.raw	8
